id,Ranking,Drzava,Ime,Starost,Turnirji
1,1,GBR,Andy Murray,29,16
2,2,SRB,Novak Djokovic,29,17
3,3,CAN,Milos Raonic,26,19
4,4,SUI,Stan Wawrinka,31,21
5,5,JPN,Kei Nishikori,27,20
6,6,CRO,Marin Cilic,28,22
7,7,FRA,Gael Monfils,30,18
8,8,AUT,Dominic Thiem,23,28
9,9,ESP,Rafael Nadal,30,16
10,10,CZE,Tomas Berdych,31,21
11,11,BEL,David Goffin,26,24
12,12,FRA,Jo-Wilfried Tsonga,31,17
13,13,AUS,Nick Kyrgios,21,20
14,14,ESP,Roberto Bautista Agut,28,25
15,15,FRA,Lucas Pouille,22,24
16,16,SUI,Roger Federer,35,15
17,17,BUL,Grigor Dimitrov,25,25
18,18,FRA,Richard Gasquet,30,20
19,19,USA,John Isner,31,21
20,20,CRO,Ivo Karlovic,37,24
21,21,ESP,David Ferrer,34,22
22,22,URU,Pablo Cuevas,31,25
23,23,USA,Jack Sock,24,19
24,24,GER,Alexander Zverev,19,24
25,25,FRA,Gilles Simon,32,25
26,26,AUS,Bernard Tomic,24,25
27,27,ESP,Albert Ramos-Vinolas,28,32
28,28,ESP,Feliciano Lopez,35,25
29,29,SRB,Viktor Troicki,30,28
30,30,ESP,Pablo Carreno Busta,25,28
31,31,USA,Sam Querrey,29,25
32,32,GER,Philipp Kohlschreiber,33,23
33,33,USA,Steve Johnson,27,28
34,34,LUX,Gilles Muller,33,24
35,35,SVK,Martin Klizan,27,22
36,36,CYP,Marcos Baghdatis,31,23
37,37,ESP,Marcel Granollers,30,28
38,38,ARG,Juan Martin del Potro,28,14
39,39,FRA,Nicolas Mahut,34,21
40,40,ITA,Paolo Lorenzi,35,31
41,41,ARG,Federico Delbonis,26,23
42,42,ESP,Fernando Verdasco,33,27
43,43,POR,Joao Sousa,27,32
44,44,ESP,Nicolas Almagro,31,26
45,45,GBR,Kyle Edmund,21,23
46,46,RUS,Andrey Kuznetsov,25,21
47,47,FRA,Benoit Paire,27,32
48,48,CRO,Borna Coric,20,21
49,49,ITA,Fabio Fognini,29,24
50,50,GER,Florian Mayer,33,18
51,51,GER,Mischa Zverev,29,26
52,52,ARG,Diego Schwartzman,24,24
53,53,RUS,Karen Khachanov,20,26
54,54,FRA,Stephane Robert,36,27
55,55,CZE,Jiri Vesely,23,24
56,56,ARG,Facundo Bagnis,26,29
57,57,RUS,Mikhail Youzhny,34,26
58,58,TUN,Malek Jaziri,32,30
59,59,NED,Robin Haase,29,28
60,60,FRA,Adrian Mannarino,28,31
61,61,BRA,Thomaz Bellucci,29,24
62,62,UKR,Alexandr Dolgopolov,28,19
63,63,GER,Jan-Lennard Struff,26,31
64,64,TPE,Yen-Hsun Lu,33,18
65,65,ARG,Juan Monaco,32,15
66,66,GBR,Daniel Evans,26,22
67,67,RSA,Kevin Anderson,30,23
68,68,AUT,Gerald Melzer,26,27
69,69,FRA,Jeremy Chardy,29,24
70,70,ESP,Guillermo Garcia-Lopez,33,31
71,71,ARG,Horacio Zeballos,31,31
72,72,GER,Dustin Brown,32,21
73,73,FRA,Paul-Henri Mathieu,34,25
74,74,UKR,Illya Marchenko,29,25
75,75,CZE,Adam Pavlasek,22,25
76,76,USA,Taylor Fritz,19,27
77,77,BIH,Damir Dzumhur,24,26
78,78,FRA,Pierre-Hugues Herbert,25,18
79,79,AUS,Jordan Thompson,22,30
80,80,ARG,Guido Pella,26,21
81,81,POR,Gastao Elias,26,29
82,82,BRA,Thiago Monteiro,22,23
83,83,ARG,Renzo Olivo,24,23
84,84,AUS,John Millman,27,25
85,85,RUS,Konstantin Kravchuk,31,25
86,86,BEL,Steve Darcis,32,16
87,87,ITA,Andreas Seppi,32,23
88,88,USA,Donald Young,27,24
89,89,KAZ,Mikhail Kukushkin,29,23
90,90,USA,Ryan Harrison,24,23
91,91,COL,Santiago Giraldo,29,28
92,92,LTU,Ricardas Berankis,26,24
93,93,SRB,Dusan Lajovic,26,27
94,94,GEO,Nikoloz Basilashvili,24,26
95,95,ARG,Carlos Berlocq,33,20
96,96,ISR,Dudi Sela,31,25
97,97,MDA,Radu Albot,27,32
98,98,BRA,Rogerio Dutra Silva,32,32
99,99,RUS,Daniil Medvedev,20,26
100,100,JPN,Yoshihito Nishioka,21,29
101,101,GBR,Aljaz Bedene,27,22
102,102,DOM,Victor Estrella Burgos,36,27
103,103,AUS,James Duckworth,24,21
104,104,KOR,Hyeon Chung,20,20
105,105,USA,Jared Donaldson,20,23
106,106,ESP,Inigo Cervantes,27,35
107,107,CZE,Radek Stepanek,38,14
